marker,article,context,provenance,link
1998,W05-1518,Van Halteren et al (1998) have generalized this approach for higher number of classifiers in their TotPrecision voting method. The vote of each classifier (parser) is weighted by their respective accuracy.,"The most important observation is that every combination (significantly) outperforms the combination of any strict subset of its components. Also of note is the improvement yielded by the best combination. The pairwise voting system, using all four individual taggers, scores 97.92% correct on Test, a 19.1% reduction in error rate over the best individual system, viz.",http://www.aclweb.org/anthology/W/W05/W05-1518.pdf
"van Halteren et al., 1998",W05-1518,"Parallel to (van Halteren et al., 1998), we ran experiments with two stacked classifiers, Memory-Based, and Decision-Tree-Based.","However, it appears more useful to give more weight to taggers which have proved their quality. This can be general quality, e.g. each tagger votes its overall precision (TotPrecision), or quality in relation to the current situation, e.g. each tagger votes its precision on the suggested tag (Tag- Precision).",http://www.aclweb.org/anthology/W/W05/W05-1518.pdf
"van Halteren et al., 1998",W05-1518,"In all experiments, the TotPrecision voting scheme of (van Halteren et al., 1998) has been used.","The first choice for this is to use a Memory- Based second level learner. To examine if the overtraining effects are specific to this particular second level classifier, we also used the C5.0 system, a commercial version of the well-known program C4.5 (Quinlan 1993) for the induction of decision trees, on the same training material.",http://www.aclweb.org/anthology/W/W05/W05-1518.pdf
1998,W00-0733,"The most advanced voting method ex amines output values of pairs of classifiers and assigns weights to tags based on how often they appear with this pair in the tuning data (Tag Pair, Van Halteren et al., (1998)).",A next step is to examine them in pairs. We can investigate all situations where one tagger suggests T1 and the other T2 and estimate the probability that in this situation the tag should actually be Tx.,http://www.aclweb.org/anthology/W/W00/W00-0733.pdf
"Van Halteren et al., 1998",W00-0733,"We will evaluate nine different methods for combining the output of our five chunkers (Van Halteren et al., 1998). Five are so-called voting methods. They assign weights to the output of the individual systems and use these weights to determine the most probable output tag.","Simple Voting There are many ways in which the results of the component taggers can be combined, selecting a single tag from the set proposed by these taggers. However, it appears more useful to give more weight to taggers which have proved their quality.",http://www.aclweb.org/anthology/W/W00/W00-0733.pdf
"Van Halteren et al., 1998",W00-0733,"For this purpose we have used the part-of-speech tag of the cur rent word as compressed representation of the first stage input (Van Halteren et al., 1998).","The second stage can be provided with the first level outputs, and with additional information, e.g. about the original input pattern.",http://www.aclweb.org/anthology/W/W00/W00-0733.pdf
"van Halteren, Zavrel, and Daelemans 1998",J01-2002,"First experiments (van Halteren, Zavrel, and Daelemans 1998; Brill and Wu 1998) demonstrated the basic validity of the approach for tagging, with the error rate of the best combiner being 19.1% lower than that of the best individual tagger (van Halteren, Zavrel, and Daelemans 1998). However, these experiments were restricted to a single language, a single tagset and, more importantly, a limited amount of training data for the combiners. This led us to perform further, more extensive, 1In previous work (van Halteren, Zavrel, and Daelemans 1998), we were unable to confirm the latter half of the hypothesis unequivocally.","This is most likely an overtraining effect: Tune is probably too small to collect case bases which can leverage the stacking effect convincingly, especially since only 7.51% of the second stage material shows disagreement between the featured tags. The most important observation is that every combination (significantly) outperforms the combination of any strict subset of its components. Also of note is the improvement yielded by the best combination. The pairwise voting system, using all four individual taggers, scores 97.92% correct on Test, a 19.1% reduction in error rate over the best individual system, viz. Regardless of such closer investigation, we feel that our results are encouraging enough to extend our investigation of combination, starting with additional component taggers and selection strategies, and going on to shifts to other tagsets and/or languages.",http://www.aclweb.org/anthology/J/J01/J01-2002.pdf
1998,J01-2002,"Compare this to the ""tune"" set in van Halteren, Zavrel, and Daelemans (1998). This consisted of 114K. tokens, but, because of a 92.5% agreement over all four taggers, it yielded less than 9K tokens of useful training material to resolve disagreements. This was suspected to be the main reason for the relative lack of performance by the more sophisticated combiners.","The second part, Tune, consists of 10% of the data (every ninth utterance, 114479 tokens) and is used to select the best tagger parameters where applicable and to develop the combination methods. All Taggers Correct 92.49 Majority Correct (31,211) 4.34 Correct Present, No Majority 1.37 (22,1111) Minority Correct (13,121) 1.01 All Taggers Wrong 0.78 Table 1: Tagger agreement on Tune. This is most likely an overtraining effect: Tune is probably too small to collect case bases which can leverage the stacking effect convincingly, especially since only 7.51% of the second stage material shows disagreement between the featured tags.",http://www.aclweb.org/anthology/J/J01/J01-2002.pdf
1998,J01-2002,"For part-of-speech tagging, a significant increase in accuracy through combining the output of different taggers was first demonstrated in van Halteren, Zavrel, and Daelemans (1998) and Brill and Wu (1998). In both approaches, different tagger gen erators were applied to the same training data and their predictions combined using different combination methods, including stacking. As we now apply the methods of van Halteren, Zavrel, and Daelemans (1998) to WSJ as well, it is easier to make a comparison.","Improving Data Driven Wordclass Tagging by System Combination Four well-known tagger generators (Hidden Markov Model, Memory-Based, Transformation Rules and Maximum Entropy) are trained on the same corpus data. After comparison, their outputs are combined using several voting strategies and second stage classifiers. Stacked classifiers From the measurements so far it appears that the use of more detailed information leads to a better accuracy improvement.",http://www.aclweb.org/anthology/J/J01/J01-2002.pdf
"van Halteren, Zavrel, and Daelemans 1998",J01-2002,"One of the best methods for tagger combination in (van Halteren, Zavrel, and Daele mans 1998) is the TagPair method. It looks at all situations where one tagger suggests tag1 and the other tag2 and estimates the probability that in this situation the tag should actually be tagx. Although it is presented as a variant of voting in that paper, it is in fact also a stacked classifier, because it does not necessarily select one of the tags suggested by the component taggers.","A next step is to examine them in pairs. We can investigate all situations where one tagger suggests T1 and the other T2 and estimate the probability that in this situation the tag should actually be Tx. The practice of feeding the outputs of a number of classifiers as features for a next learner sit is significantly better than the runner-up (Precision-Recall) with p=0. is usually called stacking (Wolpert 1992). Surprisingly, none of the Memory-Based based methods reaches the quality of TagPair.",http://www.aclweb.org/anthology/J/J01/J01-2002.pdf
1998,J01-2002,"The most important result that has undergone a change between van Halteren, Zavrel, and Daelemans (1998) and our current experiments is the relative accuracy of TagPair and stacked systems such as MBL. Where TagPair used to be significantly better than MBL, the roles are now well reversed.","When used on Test, the pairwise voting strategy (TagPair) clearly outperforms the other voting strategies, 8 but does not yet approach the level where all tying majority votes are handled correctly (98.31%). Surprisingly, none of the Memory-Based based methods reaches the quality of TagPair.",http://www.aclweb.org/anthology/J/J01/J01-2002.pdf
"van Halteren, Zavrel, and Daelemans 1998",J01-2002,"The first is the LOB corpus (Johansson 1986), which we used in the earlier experiments as well (van Halteren, Zavrel, and Daelemans 1998) and which has proved to be a good testing ground.",The data we use for our experiment consists of the tagged LOB corpus (Johansson 1986).,http://www.aclweb.org/anthology/J/J01/J01-2002.pdf
1998,J01-2002,"In van Halteren, Zavrel, and Daelemans (1998) we used a straightforward im plementation of HMM's, which turned out to have the worst accuracy of the four competing methods.","Four well-known tagger generators (Hidden Markov Model, Memory-Based, Transformation Rules and Maximum Entropy) are trained on the same corpus data. Table 2: Accuracy of individual taggers and combination methods.",http://www.aclweb.org/anthology/J/J01/J01-2002.pdf
"van Halteren,Zavrel, and Daelemans 1998",J01-2002,"With LOB and a single 114K tune set (van Halteren, Zavrel, and Daelemans 1998), both MBL and Decision Trees degraded significantly when adding context, and MBL degraded when adding the word","The first choice for this is to use a Memory- Based second level learner. Surprisingly, none of the Memory-Based based methods reaches the quality of TagPair. To examine if the overtraining effects are specific to this particular second level classifier, we also used the C5.0 system, a commercial version of the well-known program C4.5 (Quinlan 1993) for the induction of decision trees, on the same training material. 1 Because C5.0 prunes the decision tree, the overfitting of training material (Tune) is less than with Memory-Based learning, but the results on Test are also worse.",http://www.aclweb.org/anthology/J/J01/J01-2002.pdf
